City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Caucasia,CO,83.46,overcast clouds,7.9865,-75.1935,Hotel San Rafael
536,Chapais,CA,78.58,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
537,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
539,Dryden,CA,80.89,scattered clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
541,Bandarbeyla,SO,77.7,few clouds,9.4942,50.8122,JABIR HOTEL
542,Prince Albert,CA,75.15,few clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
545,Awbari,LY,85.71,clear sky,26.5921,12.7805,فندق أوباري
546,Maine-Soroa,NE,83.59,clear sky,13.2114,12.0241,Complexe
548,Jutiapa,GT,82.89,overcast clouds,14.2833,-89.9,Hotel Ordoñez
551,Korla,CN,88.72,scattered clouds,41.7597,86.1469,Gulisitan Hotel
552,Farmington,US,84.88,broken clouds,36.7281,-108.2187,Courtyard by Marriott Farmington
556,Fomboni,KM,75.94,light rain,-12.28,43.7425,Pension Paradis
557,Banda Aceh,ID,80.51,overcast clouds,5.5577,95.3222,Sulthan Hotel International
559,Utica,US,82.31,overcast clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
561,Kieta,PG,78.24,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
563,Basco,PH,83.25,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
568,Villa Florida,PY,86.27,scattered clouds,-26.3833,-57.15,Parador Hotel Touring y Automóvil Club Paraguayo
569,Gushikawa,JP,80.19,mist,26.3544,127.8686,Kirari Guest House
570,Malpe,IN,79.9,scattered clouds,13.35,74.7167,Hotel Sri Krishna Residency
573,Westport,US,86.43,few clouds,41.1415,-73.3579,The Westport Inn
577,Japura,ID,77.56,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
584,Salinopolis,BR,80.8,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
585,Halifax,CA,77.41,broken clouds,44.6453,-63.5724,Hotel Halifax
589,Pacific Grove,US,84.81,broken clouds,36.6177,-121.9166,Lovers Point Inn
597,Zhanaozen,KZ,82.04,clear sky,43.3,52.8,K.korabay 28A
601,Broome,US,83.17,broken clouds,42.2506,-75.833,Chenango Valley State Park
603,Ixtapa,MX,88.23,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
606,Segou,ML,84.54,overcast clouds,13.4317,-6.2157,Comme chez soi
608,Nanakuli,US,82.11,overcast clouds,21.3906,-158.1547,Camp Pālehua
612,Luancheng,CN,77.16,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
613,Kuryk,KZ,82.87,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
614,Saquarema,BR,75.34,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
617,Dzilam Gonzalez,MX,87.96,overcast clouds,21.2833,-88.9333,posadas
618,Jian,CN,75.43,clear sky,27.1172,114.9793,Luling International Hotel
622,Rio Grande,BR,75.31,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
623,Ranot,TH,80.98,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
626,Two Rivers,US,86.05,broken clouds,44.1539,-87.5693,Lighthouse Inn On Lake Michigan
632,Catamarca,AR,84.49,clear sky,-28.4696,-65.7852,Amerian Catamarca Park Hotel
638,Harper,LR,76.44,overcast clouds,4.375,-7.7169,Screensaver
641,Cayenne,GF,84.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
642,Raver,IN,78.67,overcast clouds,21.25,76.0333,Hotel Jay Durga
644,Oriximina,BR,85.6,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
645,Inhuma,BR,87.21,scattered clouds,-6.6683,-41.7078,Edifício Bezerra
646,Portland,US,89.46,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
655,Lhokseumawe,ID,77.9,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
656,San Pedro,PH,80.15,thunderstorm,14.35,121.0167,Villa Veronica Resort Private Pool
657,San Andres,CO,86.02,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
659,Zorritos,PE,77.29,scattered clouds,-3.6805,-80.6782,COSTA AZUL ZORRITOS MANGO
667,Seoul,KR,78.4,scattered clouds,37.5683,126.9778,롯데호텔 서울
668,Palauig,PH,81.39,moderate rain,15.435,119.9045,Myhousebythesea
669,Mantua,IT,84.09,broken clouds,45.1667,10.7833,Hotel la Favorita
672,Sola,VU,79.99,scattered clouds,-13.8833,167.55,Leumerus Bungalows
674,Jalu,LY,84.24,clear sky,29.0331,21.5482,صاحبة الفخامة
678,Tanda,IN,83.12,clear sky,26.55,82.65,MUMTAZ GANJ TANDA
679,Tiarei,PF,80.62,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
683,Muisne,EC,77.94,overcast clouds,0.6,-80.0333,Quinta Samay
684,Timizart,DZ,86.27,broken clouds,36.8,4.2667,yefssah restaurant
686,Loja,EC,78.21,clear sky,-3.9931,-79.2042,Hotel Libertador
